,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene17_ss0,0.16258,0.15218,0.5065,1,0.936031492188461,3.11538934678312,1.36661754634205e-51,
2,gene17_ss1,0.16276,0.15536,0.43264,1,0.954534283607766,2.65814696485623,8.23860682335514e-35,C5
3,gene17_ss2,0.16424,0.15768,0.33187,1,0.960058451047248,2.02064052605943,1.08077502002531e-15,C1
4,gene17_ss3,0.15697,0.15148,0.17257,1,0.965025164044085,1.099382047525,0.566589059958978,C6
5,gene17_ss4,0.16063,0.15832,0.17634,1,0.985619124696507,1.09780240303804,0.656926591248162,B2
6,gene17_ss5,0.16191,0.16147,0.17741,1,0.997282440862207,1.09573219689951,0.708460480866214,B1
7,gene17_ss6,0.16009,0.1628,0.17827,1,1.01692797801237,1.11356112186895,0.686419721110653,B6
