,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene6_ss0,0.17188,0.20342,0.45405,1,1.18350011636025,2.64166860600419,9.48745605510187e-27,
2,gene6_ss1,0.16961,0.19922,0.33577,1,1.17457697069748,1.97965921820647,8.31302883274785e-11,C5
3,gene6_ss2,0.16018,0.18633,0.17492,1,1.16325383943064,1.09202147583968,0.552079622195857,C2
4,gene6_ss3,0.16082,0.17891,0.17579,1,1.11248600920284,1.09308543713468,0.744305284262313,B1
5,gene6_ss4,0.16619,0.18172,0.18491,1,1.0934472591612,1.11264215656778,0.752069905433066,B3
6,gene6_ss5,0.1657,0.17522,0.18471,1,1.05745322872661,1.1147254073627,0.756385584815508,B5
7,gene6_ss6,0.16456,0.17386,0.17708,1,1.0565143412737,1.07608167233836,0.885183775145142,C4
