,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene13_ss0,0.1472,0.15632,0.37743,1,1.06195652173913,2.5640625,1.73639219732348e-27,
2,gene13_ss1,0.14228,0.15111,0.26195,1,1.06206072533033,1.84108799550183,1.2544118746235e-09,C3
3,gene13_ss2,0.12978,0.13795,0.12379,1,1.06295268916628,0.953844968408075,0.699002472191588,C6
4,gene13_ss3,0.12791,0.13355,0.12196,1,1.04409350324447,0.953482917676491,0.787721246346762,B2
5,gene13_ss4,0.12658,0.12935,0.12077,1,1.02188339390109,0.954100173803129,0.872548534078425,B6
6,gene13_ss5,0.12814,0.12949,0.12302,1,1.01053535195879,0.960043702200718,0.926612329420477,B5
7,gene13_ss6,0.12842,0.12883,0.12106,1,1.00319264912007,0.942688054820121,0.890525981832803,C5
