,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene8_ss0,0.15794,0.15981,0.56342,1,1.01183993921742,3.56730403950867,2.17662119877696e-62,
2,gene8_ss1,0.15551,0.15526,0.45433,1,0.998392386341714,2.92154845347566,7.8671417442298e-41,C4
3,gene8_ss2,0.14648,0.14944,0.31399,1,1.0202075368651,2.14356908793009,3.18000440145969e-17,C5
4,gene8_ss3,0.13775,0.13992,0.13482,1,1.01575317604356,0.978729582577132,0.958451804473829,C2
5,gene8_ss4,0.13916,0.13865,0.13694,1,0.996335153779822,0.984047139982754,0.99287252181526,B1
6,gene8_ss5,0.14429,0.14027,0.14079,1,0.972139441402731,0.975743294753621,0.979738088176798,B4
7,gene8_ss6,0.14365,0.14379,0.14163,1,1.00097459101984,0.985938043856596,0.99251316701064,B5
