,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene14_ss0,0.19369,0.173,0.60131,1,0.893179823429191,3.10449687645206,5.36185276059096e-60,
2,gene14_ss1,0.18797,0.16826,0.47647,1,0.895142841942863,2.53481938607225,6.61159901958189e-38,C1
3,gene14_ss2,0.18096,0.15721,0.33448,1,0.868755526083112,1.84836427939876,6.45185371959935e-16,C6
4,gene14_ss3,0.17642,0.1528,0.15499,1,0.86611495295318,0.878528511506632,0.524469501812949,C3
5,gene14_ss4,0.17454,0.15347,0.15341,1,0.879282685917268,0.878938925174745,0.570508049628957,B4
6,gene14_ss5,0.17455,0.1561,0.15301,1,0.894299627613864,0.876596963620739,0.603070604732117,B1
7,gene14_ss6,0.17132,0.15398,0.14909,1,0.898785897735232,0.870242820452954,0.589383620023474,B2
