,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene7_ss0,0.11073,0.11127,0.43461,1,1.00487672717421,3.9249525873747,2.81873029206673e-81,
2,gene7_ss1,0.11047,0.1137,0.39099,1,1.02923870734136,3.53933194532452,3.6858931052501e-63,C5
3,gene7_ss2,0.10829,0.11047,0.31934,1,1.02013112937483,2.94893341952165,2.25719277389413e-42,C2
4,gene7_ss3,0.10793,0.11221,0.2304,1,1.03965533215973,2.13471694616881,9.64320556559156e-17,C3
5,gene7_ss4,0.10797,0.1103,0.23074,1,1.02158006853756,2.13707511345744,5.27828155089933e-17,B2
6,gene7_ss5,0.10844,0.10859,0.23082,1,1.00138325341203,2.1285503504242,5.24261584535209e-17,B5
7,gene7_ss6,0.10735,0.113,0.22768,1,1.05263157894737,2.12091290172333,1.01131998650428e-15,B4
