,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene18_ss0,0.12841,0.13512,0.49743,1,1.05225449731329,3.87376372556654,1.72967745965108e-64,
2,gene18_ss1,0.12739,0.13604,0.41412,1,1.06790171913023,3.25080461574692,6.04109382096783e-44,C6
3,gene18_ss2,0.12268,0.13108,0.29061,1,1.06847081838931,2.36884577763287,1.08263812064731e-19,C5
4,gene18_ss3,0.11646,0.12276,0.12866,1,1.05409582689335,1.10475699811094,0.799459823502073,C2
5,gene18_ss4,0.11662,0.12545,0.1276,1,1.07571600068599,1.09415194649288,0.825661001094785,B5
6,gene18_ss5,0.11332,0.12045,0.12511,1,1.06291916696082,1.10404165195905,0.805250395192968,B1
7,gene18_ss6,0.11229,0.11713,0.12298,1,1.04310268055927,1.0951999287559,0.824608129531582,B3
