,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene3_ss0,0.12746,0.13133,0.63748,1,1.03036246665621,5.00141220775145,5.87075900243444e-96,
2,gene3_ss1,0.12908,0.12978,0.57077,1,1.00542299349241,4.42183142237372,1.04855943294564e-78,C3
3,gene3_ss2,0.12845,0.12568,0.47491,1,0.978435188789412,3.69723627870767,1.35668781709401e-57,C2
4,gene3_ss3,0.1291,0.12345,0.34688,1,0.956235476374903,2.6869093725794,6.53902908715033e-29,C1
5,gene3_ss4,0.13096,0.1301,0.35191,1,0.993433109346365,2.68715638362859,4.79907698117423e-28,B1
6,gene3_ss5,0.13382,0.13851,0.35925,1,1.0350470781647,2.68457629651771,5.18411690978871e-27,B2
7,gene3_ss6,0.13534,0.13282,0.36184,1,0.981380227574996,2.67356287867593,2.4821335949066e-27,B5
