,Sub.Sample,Clade1.Rate,Clade2.Rate,Clade3.Rate,Clade1.PropRate,Clade2.PropRate,Clade3.PropRate,P.Value,Flagged.Excluded
1,gene4_ss0,0.18814,0.2283,0.89005,1,1.21345806314447,4.73078558520251,7.35835801086771e-84,
2,gene4_ss1,0.18555,0.22366,0.78794,1,1.20538938291566,4.24651037456211,5.90661154050955e-68,C1
3,gene4_ss2,0.1899,0.22688,0.68061,1,1.19473407056345,3.58404423380727,1.18319022480372e-47,C3
4,gene4_ss3,0.17821,0.21852,0.47479,1,1.22619381628416,2.66421637394086,1.52343088559921e-21,C2
5,gene4_ss4,0.1799,0.21436,0.47964,1,1.19155086158977,2.66614785992218,6.11495277238689e-22,B2
6,gene4_ss5,0.18188,0.20972,0.48496,1,1.15306795689466,2.66637343303277,2.45636605867593e-22,B6
7,gene4_ss6,0.1795,0.20477,0.48297,1,1.14077994428969,2.69064066852368,1.73686896325069e-22,B4
